Corridor,Business vacancies <24 months,Business vacancies >24 months,Business no-stat <24 months,Business no-stat >24 months,Year
Belair Rd,18,43,206,207,2021
Brooklyn,16,94,323,300,2021
E Monument St,35,141,359,379,2021
Greektown,9,27,192,201,2021
Hamilton Lauraville,25,107,383,369,2021
Hampden,38,80,181,163,2021
Highlandtown,39,91,318,332,2021
Irvington,6,44,111,112,2021
North Ave,7,109,174,173,2021
Park Heights,7,41,172,170,2021
Penn Ave,117,353,1140,1056,2021
Pigtown,31,193,274,267,2021
Pimlico,10,151,235,257,2021
Waverly,21,134,561,558,2021
